Linked_ID,Threat_Type,Connection_Status,Severity_Level,Flagged,Payload_Data,Device_Type,Application,Notes,External_Internal_Flag,Service_Name,File_Hash,Linked_Events_ID,Data_Exfiltration_Flag,Asset_Classification,Session_ID,TTL_Value,User_Behavior_Score,Incident_Category,Cloud_Service_Info,IoC_Flag
1,Malware,Blocked,Low,TRUE,,Mobile Device,Database,,External,FTP,003ee4a2a8242fba361ac9cd3bab6214adb55493,a898d56c-9216-4803-9b06-19aa4f041c6e,TRUE,Non-Critical,9e95c036-5c8a-44cc-9abf-2562916a0a29,108,0.2204406220406967,Persistence,Azure,TRUE
2,None,Blocked,Critical,TRUE,,Router,Web Browser,,Internal,HTTPS,38491ce31a261dafb0d0b5c62f68c2063a3570b6,dd675fd4-3bba-40d8-b3cc-a78935605229,FALSE,Non-Critical,3c5688c4-6d23-4a21-be82-29a8a19094df,50,0.7045718362149235,Initial Access,GCP,TRUE
3,Exploit,Blocked,Medium,TRUE,,Router,Mail,,Internal,FTP,3dd4d56e82b1280a795dc39ce1cc3008883fb304,5b8699ec-751f-4cb6-9f88-ab0baecafc01,TRUE,Non-Critical,c03970de-d7d0-4e03-950d-41ad69638305,84,0.8428519201898096,Initial Access,GCP,TRUE
4,Phishing,Blocked,Medium,FALSE,,Unknown,Database,,Internal,HTTP,d6c67adbd4837c315bbd59acc3d069ba4772be6c,1cdb4f35-c1c3-4920-b0c6-5e0245388be3,FALSE,Important,621a9d63-dda8-47dd-97f9-ad2a3f44efb3,57,0.997325778,Execution,AWS,FALSE
5,Insider Threat,Blocked,High,FALSE,,Server,SSH,,Internal,FTP,0b4d60839698782838c918766f10616c273869f1,401db598-f03f-4b51-9d4c-adf5e96549ab,TRUE,Important,e5e0cb5a-f1f0-4ae1-8d52-977ff0bbdd43,1,0.9538159275210801,Persistence,,TRUE
6,Malware,Blocked,High,FALSE,,Mobile Device,Web Browser,,External,FTP,1fb80cf05843d7c32d10e6b9def1eb7fb0562f3a,06884095-0dc7-42be-adab-93a537870427,TRUE,Critical,17fd305d-8ccb-47f8-997b-50d6da74f039,125,0.8160232534200885,Execution,AWS,TRUE
7,Insider Threat,Allowed,Critical,FALSE,,Server,FTP,,External,SSH,9fc0d7fba51d8930500419d80025d142a87dc5e6,10ef34dd-08a4-47f8-a4c7-0f3af674949e,TRUE,Important,80f24557-3c94-4907-861b-54ae816e2d6a,6,0.5883087184572333,Execution,Azure,TRUE
8,Exploit,Blocked,Critical,TRUE,,Router,Mail,,External,SSH,99089bd99dbfb9a9ca6ce2b6e0dee795a350407b,1f9b7b2a-638a-4ce8-a347-72928a526f7c,TRUE,Critical,15398eee-86e8-4f3a-9f0a-6427babae40f,111,0.3542975665895538,Privilege Escalation,GCP,FALSE
9,DDoS,Allowed,Medium,FALSE,,Router,FTP,,External,FTP,12466a7530f64f04aa4484f53711a6fdeefc8ac8,babbe3d2-0a16-47b8-9126-a9379654929b,FALSE,Non-Critical,7e683e87-bc11-4ad1-a08a-84580f8122f4,26,0.05058833,Initial Access,,TRUE
10,Ransomware,Allowed,Medium,TRUE,,Desktop,FTP,,External,SSH,6e230b3e6d398c6649828b78b003dfcc40e81b88,8a511dbf-bf9b-479f-aafd-15b17fa71d4b,TRUE,Non-Critical,8d2af203-440a-498c-be57-5a8a1f09ef19,81,0.057165273,Privilege Escalation,AWS,TRUE
11,Ransomware,Allowed,High,TRUE,,Unknown,Unknown,,Internal,SSH,d776abc63202e7369a3672ed1abd8af7ce166c24,c1f713ec-dd7d-4659-9922-37cfeab607be,TRUE,Important,ed5f9908-72f4-42b2-883e-1caa21ce39c3,102,0.13087828212745645,Persistence,Azure,FALSE
12,DDoS,Allowed,High,TRUE,,Unknown,Database,,Internal,HTTP,6af74616c368161369b912a32e25a3df2d433fcd,59eeb6bc-bf77-4af5-b482-dc93dfc9c767,TRUE,Critical,110d8fc6-bd7b-4deb-823c-cf00114e5f50,68,0.11542867041910221,Initial Access,Azure,TRUE
13,Malware,Blocked,High,TRUE,,Unknown,SSH,,External,HTTPS,c0aaaf392f7a2ec83c96e947a5b47fce594e2b49,8ee43a59-a2ad-4e6b-958f-9115ce0523a2,FALSE,Non-Critical,1074e205-12d8-4805-9dee-d0f6480a0cf8,110,0.5609068647747464,Initial Access,AWS,TRUE
14,Phishing,Allowed,Medium,TRUE,,Mobile Device,FTP,,Internal,SSH,06754f6935973e593fd5e22583a41b3567d8631d,52514aac-075b-442e-ab58-c66a44a1954c,TRUE,Critical,a1c1bffb-09d6-4149-a7c0-bcf80159e1ea,86,0.7823864961476317,Privilege Escalation,GCP,TRUE
15,Phishing,Allowed,Low,FALSE,,Desktop,Unknown,,Internal,FTP,0594201b6d512c836ab2798b5c843648ef3461bc,a55180ac-558b-4fdc-b8c1-d0f55c195d33,FALSE,Critical,7267e6bb-f3e3-4092-a720-368945e47f6a,30,0.8770384115755603,Persistence,Azure,TRUE
16,Malware,Allowed,Low,TRUE,,Desktop,Mail,,External,SSH,bead4245b2a1d1ff0290a814eba45fd65fc73c7b,d71ae973-c52f-4aca-9fdd-1b1fe1d00ead,FALSE,Non-Critical,a764ab81-51fe-47f3-98b1-cc5e35bdb6b3,81,0.6633874762655443,Initial Access,AWS,FALSE
17,Ransomware,Blocked,High,FALSE,,Mobile Device,Mail,,Internal,SSH,44aa849e9d539a664b31a804fb563c42f33a8065,86b6c570-a721-4971-9193-36f782644066,FALSE,Important,aef46a59-fa82-4afc-9711-e222253f96af,114,0.6756272331900999,Privilege Escalation,,TRUE
18,DDoS,Allowed,Low,FALSE,,Router,Unknown,,External,HTTPS,3981d98229ab7eef9be9e8315896943ad1dfa488,82a24590-630d-48bc-a2c3-b606e984d71a,FALSE,Important,c9e49004-cc57-44db-83c8-2d7e40adc666,103,0.24398443957843885,Initial Access,Azure,TRUE
19,DDoS,Allowed,Critical,FALSE,,Mobile Device,Unknown,,Internal,SSH,ba08193e25bfa1c409009abedfc415e468027d77,c9e1e92a-5d6d-47b7-b3a3-facf53ef4bc8,FALSE,Non-Critical,5b0c3cad-d342-4872-9386-319c2b487ab8,62,0.2745974469175383,Initial Access,GCP,FALSE
20,Phishing,Allowed,Critical,TRUE,,Mobile Device,Mail,,Internal,SSH,d1e03fc79ed6a15f82f8ab033c8eeaffe817739f,6dc9f277-9694-4180-85fa-caa9eff561bb,TRUE,Non-Critical,b16f137e-2a16-472d-b3a6-c8389011534d,98,0.47697973255735693,Persistence,GCP,FALSE
21,None,Allowed,Medium,TRUE,,Router,Database,,External,HTTPS,73447aae6946464292588739ced752369869ebda,a728b43c-8f03-4bc7-affa-6dd98a1ca223,TRUE,Non-Critical,548e76af-c0fb-4795-92ac-d6841b9bcf2c,110,0.13569948723056424,Privilege Escalation,Azure,TRUE
22,Insider Threat,Blocked,High,TRUE,,Unknown,Web Browser,,External,HTTPS,1c4507dbb6a12500561c7523595ca7d3ac3f9286,fd0aba0d-0bc9-47bb-b5b6-7a1cd233865b,TRUE,Critical,adb3f5d8-42af-4c25-aec5-93696e66b901,52,0.8392288462845982,Execution,,TRUE
23,Exploit,Blocked,High,FALSE,,Router,Unknown,,External,FTP,f4b2ad5dd06c6f28fdea50ae2b3ff4c591d8a61a,cdba18f5-b861-48d6-b47b-0d247c6e4047,TRUE,Non-Critical,4e4c9f35-064b-4950-8c0d-5ad4d4a8efab,63,0.10190130544597653,Persistence,Azure,TRUE
24,Insider Threat,Allowed,Medium,FALSE,,Mobile Device,Unknown,,Internal,SSH,e80897cbc4607f6014a30fe70c5b49954d930b0a,19f719a7-130e-44e9-b997-cc82155007d1,FALSE,Important,51c1c97c-2edc-477c-b49d-819acc5b64dd,112,0.8257345984207556,Persistence,GCP,FALSE
25,Phishing,Allowed,High,FALSE,,IoT Device,Unknown,,Internal,SSH,2e3893a4f55d988d88378752177e6711ab085b34,661ad2b4-6027-4496-ba4b-8681e7016c1f,TRUE,Non-Critical,30a2de11-5452-45ff-b4ee-0904ae4c6e28,49,0.085612962,Privilege Escalation,,FALSE
26,Exploit,Allowed,Critical,FALSE,,Desktop,Unknown,,Internal,FTP,e3e843771147ccb939d2f50cdc6b54919aa618e9,d4afce41-4579-4c9c-9b88-29cde29f3ce3,FALSE,Important,42fe9715-5558-4916-88f0-9aa477b3e22d,65,0.23053804129850775,Execution,GCP,FALSE
27,DDoS,Allowed,Low,TRUE,,Desktop,Web Browser,,External,HTTPS,5c9abea0c41941aacc5c58406d1d82059d1ff8e4,4087041c-ae2e-49d9-8623-e0042b96696f,FALSE,Non-Critical,828da51d-264b-4297-bcb4-325c5e280376,33,0.6378696551059275,Privilege Escalation,AWS,TRUE
28,Malware,Blocked,Medium,TRUE,,IoT Device,SSH,,External,HTTP,0b503c784ed75ebda15bd13aa8d903f66b2b82b6,d5aadb98-f4f9-4b13-b558-0eede50de33b,TRUE,Critical,d4cee3c8-91ed-4dca-a910-97511f2f757c,107,0.6063176512429628,Execution,GCP,FALSE
29,Insider Threat,Blocked,Medium,TRUE,,Mobile Device,Database,,External,SSH,92727608edebbdb627ee4a5f6b2b044acc68d048,37a611db-8ef1-4d4e-9636-0044a23cfa41,TRUE,Critical,ab781f63-d047-4eaa-8b5b-0921392bf2b6,105,0.4505037046177024,Privilege Escalation,,FALSE
30,Insider Threat,Blocked,High,TRUE,,Server,Web Browser,,External,FTP,08686c3a8f00106c355ea7191fd147ea37618624,31b01be6-09de-4de1-b9dc-35bd30e41b58,FALSE,Non-Critical,95e48ff0-9377-40d5-9f1c-13d39d98fb74,74,0.4391534486737374,Privilege Escalation,AWS,FALSE
