ID,Activity_Count,Suspicious_Activity,Last_Activity_Timestamp,Browser,Number_of_Downloads,Email_Sent
1,98,True,2016-06-24 23:19:43,"Mozilla/5.0 (iPhone; CPU iPhone OS 10_3_4 like Mac OS X) AppleWebKit/532.1 (KHTML, like Gecko) CriOS/42.0.847.0 Mobile/18G876 Safari/532.1",6,2
2,99,False,2019-06-02 10:03:39,"Mozilla/5.0 (Windows; U; Windows NT 4.0) AppleWebKit/533.12.5 (KHTML, like Gecko) Version/5.0.1 Safari/533.12.5",1,1
3,5,False,2011-07-20 03:08:18,Mozilla/5.0 (compatible; MSIE 7.0; Windows NT 4.0; Trident/5.0),6,2
4,12,True,2016-09-29 09:49:05,"Mozilla/5.0 (iPad; CPU iPad OS 9_3_6 like Mac OS X) AppleWebKit/534.1 (KHTML, like Gecko) FxiOS/14.5p1196.0 Mobile/88N180 Safari/534.1",1,1
5,65,True,2019-05-29 20:34:53,Mozilla/5.0 (Android 4.0; Mobile; rv:54.0) Gecko/54.0 Firefox/54.0,10,2
6,85,False,2023-07-27 18:47:44,Mozilla/5.0 (Android 2.2.2; Mobile; rv:44.0) Gecko/44.0 Firefox/44.0,8,1
7,1,True,2020-06-12 16:21:19,"Mozilla/5.0 (Windows; U; Windows NT 5.0) AppleWebKit/533.39.4 (KHTML, like Gecko) Version/4.0.5 Safari/533.39.4",10,0
8,94,True,2017-12-26 10:30:23,Mozilla/5.0 (compatible; MSIE 6.0; Windows NT 6.1; Trident/3.0),10,5
9,97,True,2014-10-17 22:27:18,"Mozilla/5.0 (Macintosh; U; Intel Mac OS X 10_7_2 rv:4.0; am-ET) AppleWebKit/533.9.1 (KHTML, like Gecko) Version/4.1 Safari/533.9.1",2,3
10,8,True,2015-06-23 18:34:22,Mozilla/5.0 (compatible; MSIE 9.0; Windows NT 10.0; Trident/5.0),2,0
11,41,True,2021-07-13 09:23:50,"Mozilla/5.0 (iPod; U; CPU iPhone OS 4_2 like Mac OS X; pt-PT) AppleWebKit/533.2.5 (KHTML, like Gecko) Version/3.0.5 Mobile/8B116 Safari/6533.2.5",0,3
12,35,False,2015-01-06 13:40:30,Mozilla/5.0 (compatible; MSIE 6.0; Windows NT 5.01; Trident/3.0),9,1
13,89,True,2017-01-05 02:25:20,Mozilla/5.0 (compatible; MSIE 7.0; Windows 98; Trident/5.0),8,0
14,35,True,2012-03-31 04:37:23,"Mozilla/5.0 (iPad; CPU iPad OS 12_4_8 like Mac OS X) AppleWebKit/534.2 (KHTML, like Gecko) CriOS/51.0.826.0 Mobile/33B682 Safari/534.2",1,3
15,75,False,2017-08-23 16:48:46,Mozilla/5.0 (compatible; MSIE 6.0; Windows NT 6.2; Trident/3.0),0,0
16,65,False,2012-01-25 07:04:25,Opera/8.25.(X11; Linux i686; hak-TW) Presto/2.9.166 Version/12.00,10,3
17,85,True,2014-11-01 04:28:41,"Mozilla/5.0 (Windows; U; Windows CE) AppleWebKit/534.12.6 (KHTML, like Gecko) Version/4.0.2 Safari/534.12.6",4,4
18,100,False,2021-01-06 22:48:17,Opera/9.71.(X11; Linux i686; tt-RU) Presto/2.9.165 Version/11.00,3,1
19,31,False,2018-05-31 19:28:23,"Mozilla/5.0 (iPhone; CPU iPhone OS 10_3_4 like Mac OS X) AppleWebKit/532.0 (KHTML, like Gecko) FxiOS/13.3p0487.0 Mobile/03W682 Safari/532.0",5,2
20,97,False,2023-05-29 22:23:57,Mozilla/5.0 (Macintosh; U; Intel Mac OS X 10_5_2; rv:1.9.3.20) Gecko/4183-10-01 13:13:34 Firefox/5.0,6,4
